#data
R,THETA,PHI,abs|E|
100,155,205,0
100,160,205,0
100,165,205,0
100,170,205,0
100,175,205,0
100,180,205,0
100,0,210,2.59796
100,5,210,2.65256
100,10,210,2.82571
100,15,210,3.0936
100,20,210,3.42926
100,25,210,3.80536
100,30,210,4.19482
100,35,210,4.57207
100,40,210,4.91555
100,45,210,5.21022
100,50,210,5.44901
100,55,210,5.63252
100,60,210,5.7672
100,65,210,5.86255
100,70,210,5.92841
100,75,210,5.97294
100,80,210,6.00178
100,85,210,6.01814
100,90,210,6.02346
100,95,210,0
100,100,210,0
100,105,210,0
100,110,210,0
100,115,210,0
100,120,210,0
100,125,210,0
100,130,210,0
100,135,210,0
100,140,210,0
100,145,210,0
100,150,210,0
100,155,210,0
100,160,210,0
100,165,210,0
100,170,210,0
100,175,210,0
100,180,210,0
100,0,215,2.59796
100,5,215,2.63796
100,10,215,2.78642
100,15,215,3.02476
100,20,215,3.33033
100,25,215,3.67825
100,30,215,4.04232
100,35,215,4.39695
100,40,215,4.72017
100,45,215,4.99658
100,50,215,5.21889
100,55,215,5.38775
100,60,215,5.50976
100,65,215,5.59465
100,70,215,5.65239
100,75,215,5.6911
100,80,215,5.71616
100,85,215,5.73045
100,90,215,5.73512
100,95,215,0
100,100,215,0
100,105,215,0
100,110,215,0
100,115,215,0
100,120,215,0
100,125,215,0
100,130,215,0
100,135,215,0
100,140,215,0
100,145,215,0
100,150,215,0
100,155,215,0
100,160,215,0
100,165,215,0
100,170,215,0
100,175,215,0
100,180,215,0
100,0,220,2.59796
100,5,220,2.62302
100,10,220,2.74529
100,15,220,2.95135
100,20,220,3.22312
100,25,220,3.53864
100,30,220,3.87308
100,35,220,4.20124
100,40,220,4.50103
100,45,220,4.75676
100,50,220,4.96083
100,55,220,5.11363
100,60,220,5.22165
100,65,220,5.2946
100,70,220,5.34248
100,75,220,5.3735
100,80,220,5.3931
100,85,220,5.40412
100,90,220,5.40771
100,95,220,0
100,100,220,0
100,105,220,0
100,110,220,0
100,115,220,0
100,120,220,0
100,125,220,0
100,130,220,0
100,135,220,0
100,140,220,0
100,145,220,0
100,150,220,0
100,155,220,0
100,160,220,0
100,165,220,0
100,170,220,0
100,175,220,0
100,180,220,0
100,0,225,2.59796
100,5,225,2.60801
100,10,225,2.7032
100,15,225,2.87496
100,20,225,3.10991
100,25,225,3.38946
100,30,225,3.69071
100,35,225,3.9893
100,40,225,4.26337
100,45,225,4.49703
100,50,225,4.68228
100,55,225,4.81904
100,60,225,4.91332
100,65,225,4.97451
100,70,225,5.01252
100,75,225,5.03559
100,80,225,5.04932
100,85,225,5.05673
100,90,225,5.05911
100,95,225,0
100,100,225,0
100,105,225,0
100,110,225,0
100,115,225,0
100,120,225,0
100,125,225,0
100,130,225,0
100,135,225,0
100,140,225,0
100,145,225,0
100,150,225,0
100,155,225,0
100,160,225,0
100,165,225,0
100,170,225,0
100,175,225,0
100,180,225,0
100,0,230,2.59796
100,5,230,2.59322
100,10,230,2.6611
100,15,230,2.79739
100,20,230,2.99336
100,25,230,3.23421
100,30,230,3.49953
100,35,230,3.76638
100,40,230,4.01347
100,45,230,4.22488
100,50,230,4.39221
100,55,230,4.51465
100,60,230,4.59745
100,65,230,4.64934
100,70,230,4.67975
100,75,230,4.69678
100,80,230,4.70602
100,85,230,4.71067
100,90,230,4.7121
100,95,230,0
100,100,230,0
100,105,230,0
100,110,230,0
100,115,230,0
100,120,230,0
100,125,230,0
100,130,230,0
100,135,230,0
100,140,230,0
100,145,230,0
100,150,230,0
100,155,230,0
100,160,230,0
100,165,230,0
100,170,230,0
100,175,230,0
100,180,230,0
100,0,235,2.59796
100,5,235,2.57894
100,10,235,2.61997
100,15,235,2.7206
100,20,235,2.87651
100,25,235,3.07695
100,30,235,3.30463
100,35,235,3.53859
100,40,235,3.75857
100,45,235,3.94888
100,50,235,4.10069
100,55,235,4.21235
100,60,235,4.28802
100,65,235,4.33534
100,70,235,4.36284
100,75,235,4.37797
100,80,235,4.38598
100,85,235,4.38991
100,90,235,4.39111
100,95,235,0
100,100,235,0
100,105,235,0
100,110,235,0
100,115,235,0
100,120,235,0
100,125,235,0
100,130,235,0
100,135,235,0
100,140,235,0
100,145,235,0
100,150,235,0
100,155,235,0
100,160,235,0
100,165,235,0
100,170,235,0
100,175,235,0
100,180,235,0
100,0,240,2.59796
100,5,240,2.56544
100,10,240,2.58084
100,15,240,2.64672
100,20,240,2.76274
100,25,240,2.92232
100,30,240,3.11182
100,35,240,3.31289
100,40,240,3.50679
100,45,240,3.67837
100,50,240,3.81846
100,55,240,3.9244
100,60,240,3.99895
100,65,240,4.04819
100,70,240,4.07919
100,75,240,4.09816
100,80,240,4.10948
100,85,240,4.11558
100,90,240,4.11753
100,95,240,0
100,100,240,0
100,105,240,0
100,110,240,0
100,115,240,0
100,120,240,0
100,125,240,0
100,130,240,0
100,135,240,0
100,140,240,0
100,145,240,0
100,150,240,0
100,155,240,0
100,160,240,0
100,165,240,0
100,170,240,0
100,175,240,0
100,180,240,0
100,0,245,2.59796
100,5,245,2.55301
100,10,245,2.54473
100,15,245,2.57795
100,20,245,2.6557
100,25,245,2.77547
100,30,245,2.92762
100,35,245,3.09705
100,40,245,3.26706
100,45,245,3.42332
100,50,245,3.5564
100,55,245,3.66251
100,60,245,3.74266
100,65,245,3.80086
100,70,245,3.84213
100,75,245,3.87088
100,80,245,3.89008
100,85,245,3.90126
100,90,245,3.90496
100,95,245,0
100,100,245,0
100,105,245,0
100,110,245,0
100,115,245,0
100,120,245,0
100,125,245,0
100,130,245,0
100,135,245,0
100,140,245,0
100,145,245,0
100,150,245,0
100,155,245,0
100,160,245,0
100,165,245,0
100,170,245,0
100,175,245,0
100,180,245,0
100,0,25,2.59796
100,5,25,2.67317
100,10,25,2.88546
100,15,25,3.20528
100,20,25,3.59127
100,25,25,4.0015
100,30,25,4.40014
100,35,25,4.76098
100,40,25,5.06905
100,45,25,5.32033
100,50,25,5.51965
100,55,25,5.67701
100,60,25,5.8036
100,65,25,5.90842
100,70,25,5.99654
100,75,25,6.06902
